CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography,Gender,Exited
741,21,8,210483.39169795217,1,1,1,173669.4287581483,Spain,Female,0
512,73,8,46525.35446156933,1,0,0,36087.00621595835,Spain,Female,1
768,42,4,200660.8274489276,3,1,1,190953.48295575767,Germany,Female,0
638,20,9,114546.72168447316,3,1,1,72476.29739123577,Germany,Male,0
728,49,3,120742.2180213388,3,0,1,135839.6103588368,Germany,Male,1
610,20,5,33369.993103985944,2,1,1,152846.77773176943,France,Female,1
839,44,6,20150.378439281165,2,0,1,164269.78458119783,Germany,Female,1
580,46,4,181984.82674344128,3,0,0,189692.44342292674,France,Male,1
390,49,9,124115.28808882493,2,1,1,69454.7141254763,France,Female,1
377,67,8,109212.67565379488,3,1,0,173116.22636479535,Germany,Male,0
484,78,2,182377.05716309918,2,0,1,35020.51165287934,Germany,Male,0
550,75,6,191378.22474777745,1,1,1,143957.77220718263,Germany,Male,0
677,68,9,39727.04191733839,1,1,0,150975.76860765732,France,Female,1
617,36,9,152556.28736941033,3,0,0,138767.41582825087,Spain,Female,0
767,38,4,33838.52056942138,2,0,0,57939.799865679066,Germany,Female,1
382,22,6,187843.7715072614,2,1,0,175878.19793288864,Germany,Male,1
397,35,1,164238.78906678487,1,0,1,42083.10804037505,Germany,Male,0
756,45,3,239153.6552708645,1,0,0,20190.61038895786,France,Male,0
411,59,1,17239.504089105296,3,0,1,146318.34821626332,France,Female,1
565,78,6,14263.680287813579,1,0,0,100340.3858942194,Spain,Male,0
642,39,1,70546.76867330003,3,0,0,171328.62379214846,Germany,Male,1
448,38,0,65426.42093397649,1,0,1,82845.4568010692,France,Female,0
521,23,8,61744.699767999955,1,0,1,41972.93181646544,Spain,Male,0
709,18,0,226563.64513025916,2,1,0,168924.01656927523,Germany,Male,0
563,22,7,62386.54996237653,1,0,1,114292.83001161362,France,Female,0
824,58,1,67987.43153215775,1,1,1,45947.20055416743,Germany,Female,0
384,29,7,189849.56560449093,3,1,1,146872.9597314247,Germany,Male,1
798,43,2,112434.960612635,1,1,1,107111.5913130051,France,Female,0
576,63,5,194177.6392387953,3,0,1,124819.46662566076,France,Male,0
450,51,2,16341.53939109631,1,0,1,97570.68425925056,France,Female,0
780,66,6,121892.79841834608,1,1,1,167454.70692542123,Germany,Male,1
811,31,9,8403.400045820657,3,0,1,167616.91597977947,Germany,Female,1
480,43,8,15663.30086383863,2,1,0,144783.87614663338,Spain,Male,1
606,62,1,226609.36333610275,3,0,1,30026.26170532783,Germany,Female,1
354,44,4,34811.342779398794,3,0,0,169382.2337617731,France,Female,1
567,26,5,133105.1705688043,3,1,1,137492.46630125286,Germany,Female,0
604,43,3,102773.90065017664,2,1,1,142434.5915408169,Spain,Female,0
747,74,3,86835.83156471066,1,1,1,78966.73967673561,Spain,Female,0
708,64,3,224958.33642181812,3,0,1,177063.11566983128,France,Female,1
632,74,1,5455.8491938723755,3,1,0,147820.60404462292,France,Female,1
742,39,3,165947.42154389728,2,0,0,31392.18864054695,Spain,Male,0
556,64,0,240848.6085533876,3,0,1,87477.82653717091,Spain,Male,1
364,73,5,140042.04586546047,1,0,0,178412.26877242693,Spain,Female,1
695,47,0,234205.61550827295,2,1,1,18967.373322502008,France,Female,1
391,60,9,13064.469821505942,1,1,1,192669.1577319894,Spain,Male,0
729,65,5,104698.32976854035,1,1,0,139040.88798071694,Spain,Male,0
810,78,0,65039.44774051279,2,0,0,129961.43575224155,France,Female,1
528,34,5,182705.24124518243,3,0,1,61406.258732718365,Germany,Male,1
412,43,9,245324.27262431168,1,1,1,57270.43986044364,Germany,Male,1
701,53,7,64132.51561106195,1,0,0,188991.06170283313,Spain,Female,1
580,18,1,163543.6503685186,1,0,1,66671.76630448332,Germany,Female,0
590,25,1,49524.408189935035,1,1,0,157346.00637660988,Germany,Female,1
401,66,3,141332.56364290247,2,1,1,84693.14165934504,Germany,Male,0
445,52,2,115983.12167208405,2,1,1,36458.27344909376,Germany,Female,0
737,78,3,243001.33240788427,1,0,0,12035.9065621182,Spain,Female,0
571,69,6,152131.81817411663,3,0,0,113408.89403289766,Germany,Male,1
834,32,0,87376.5930217047,1,0,0,195397.97552429722,Germany,Female,0
756,64,5,28523.946221983344,3,0,1,80135.87682374885,France,Male,0
580,73,2,37811.70718373364,1,0,1,77866.54345867853,Spain,Male,1
586,39,9,56329.232487808775,3,1,1,75377.407391394,France,Male,1
492,31,6,62741.6653350745,1,0,1,108903.3290879231,France,Male,1
520,43,9,212654.01446028444,3,0,0,93726.32785061578,Spain,Male,0
378,45,1,140305.69707063123,1,0,1,177183.77907813276,Germany,Male,1
385,40,1,130847.72784359161,1,1,1,106048.95042746316,France,Female,0
362,31,3,28692.21796730437,3,1,1,106473.98925582807,Spain,Female,0
509,41,0,215034.92333735875,2,1,0,36290.602996905756,Germany,Female,1
676,19,2,180703.57580212093,3,0,1,196720.51277297334,Spain,Male,0
536,62,8,16917.090475000397,2,1,1,57494.84926507764,France,Female,0
592,43,6,176958.77430744216,1,1,0,23939.172817324506,Germany,Male,0
435,31,6,135884.55433566152,3,1,1,135997.78730528968,Germany,Female,0
633,76,3,20431.336436694564,3,0,1,123119.6103298058,Spain,Male,1
415,73,1,114575.16038216412,3,1,0,88877.67425862169,Germany,Female,0
519,68,3,121174.07178251175,2,0,1,90216.52443732883,France,Male,1
394,24,5,41443.63504081894,2,0,1,159162.14499882192,France,Female,0
411,20,2,236424.53675007058,1,1,1,47185.40161893332,France,Male,0
790,64,0,212493.84287016548,2,0,0,165848.13059952905,Spain,Female,1
483,40,7,167255.58433227707,2,1,1,133261.95164005345,Germany,Male,0
633,63,4,115573.8902501518,1,0,1,89604.25701810964,Germany,Female,0
377,60,4,102941.38539612712,3,1,0,97025.43715093503,Germany,Female,0
457,64,3,162743.36678773855,3,1,0,58762.9693653582,France,Female,0
393,77,5,136357.96735172637,1,1,1,152901.72321242522,Germany,Male,0
689,62,2,15568.276470471405,3,0,1,107446.20103800087,France,Male,0
635,35,8,128125.66219258292,2,1,1,70962.36312247028,Germany,Male,1
795,75,4,201600.90430820987,1,0,1,123249.52199458054,France,Male,1
680,55,2,114809.96939923952,1,1,0,199189.54588975137,Germany,Male,1
477,52,0,12989.144388567103,1,0,1,92699.83313474523,Spain,Female,0
697,68,9,196569.54984600827,3,0,0,184931.36614793772,Spain,Male,0
822,32,5,50340.945533993596,1,1,0,75553.19958566756,France,Female,0
580,42,1,64655.208722009695,1,1,1,20399.21431574732,France,Female,1
539,72,2,41176.588358073976,1,1,1,48806.00021000149,Germany,Male,0
574,54,0,82553.76621787439,3,1,0,89552.07723226,Germany,Female,1
734,45,8,189187.87642215876,2,1,0,51730.63643296811,Spain,Male,0
726,27,7,129846.46487598434,1,0,1,10043.137261468552,Germany,Male,0
632,56,1,51220.31853767814,2,1,0,183850.29217203017,France,Male,0
795,74,7,219457.5195380102,3,1,1,170337.0881338765,France,Female,1
470,34,8,219895.4637378823,3,0,1,151035.52398251995,France,Male,0
465,56,0,217644.60626150173,3,1,0,41884.77317274544,France,Male,1
810,39,4,59699.052845384824,3,1,0,32869.07947989735,France,Male,0
582,43,7,112809.83604524702,2,0,1,22844.9023997528,Spain,Female,0
608,79,1,246247.41403521877,1,1,0,147565.54586685504,Spain,Male,1
708,61,3,193003.1190774976,3,1,1,186473.5125306982,France,Female,0
547,42,6,6791.855306389954,3,1,1,91801.80597347704,Germany,Female,0
805,34,2,16301.147815123013,2,0,1,32636.72767924915,France,Male,0
760,30,4,115982.8442030832,2,1,0,107354.63593910025,Spain,Female,0
486,37,7,227305.05146539005,3,0,1,76278.06241713972,France,Female,1
667,42,9,134675.44948817856,1,1,1,81216.73562649956,Spain,Male,1
514,21,2,124453.12700857256,1,0,1,128052.81858958438,Spain,Male,0
574,27,3,26368.424989157647,3,1,1,146556.44151981844,France,Male,0
656,20,8,164195.0261810735,2,0,1,31014.68378590056,France,Female,1
583,58,6,205525.79015005636,3,0,1,16762.143853230515,Germany,Male,0
521,62,0,95105.00187689059,3,0,1,198922.75751028582,Spain,Female,1
501,35,3,193902.96273133188,2,0,1,54218.38629395485,Germany,Female,0
812,64,3,241119.1634752029,3,0,1,20227.799732607225,France,Female,1
664,53,8,50941.614781922275,3,0,1,46076.31252822479,Spain,Female,1
723,64,5,130832.40779868532,3,1,1,17401.990806208203,Germany,Female,1
509,39,8,71784.48952114389,2,1,0,84444.06997726261,Germany,Male,1
445,51,5,198213.60475845984,1,0,1,162456.3390457516,Germany,Male,0
821,64,5,144398.34147028936,1,0,1,74836.44545396691,France,Female,0
582,25,4,158645.60438757594,2,0,1,94394.84730688964,France,Female,1
529,57,4,199478.53990397352,1,0,0,138361.48697781336,France,Male,1
462,66,1,98992.61816561372,3,1,1,106689.87331327723,Spain,Male,1
667,61,7,228772.5171017608,1,0,0,173674.6803440516,France,Female,1
846,36,7,133257.21681153498,3,1,1,174546.77825869372,Spain,Female,0
791,59,0,39488.705708837,1,1,1,11883.032143319193,Germany,Male,1
401,58,7,173974.77954220062,2,0,0,157828.79823180783,Germany,Male,1
617,54,4,198315.3376095636,1,0,1,97539.38404591804,France,Female,1
644,23,1,79190.41926688167,1,1,0,197879.70284769597,Germany,Male,1
735,69,1,214294.81424968824,1,1,0,101814.09441633268,France,Male,1
736,43,5,226535.8136914416,2,0,1,197510.2296237765,Spain,Female,1
462,51,8,69226.12184445224,1,0,1,153368.17862908996,Germany,Female,1
450,76,0,245880.3681788055,2,0,1,57234.9280765282,France,Female,0
462,73,5,35177.882012189606,3,1,1,112295.04606452196,Germany,Male,1
789,76,8,50503.91710062249,1,1,0,198505.7715009307,Germany,Female,1
430,62,7,46056.20980950653,2,0,0,172930.8154728655,France,Male,1
536,23,5,223497.4275019676,2,1,1,28499.70982033201,Germany,Female,0
462,54,2,163573.13808124047,1,1,0,144210.67939389925,Germany,Female,0
351,74,7,38026.07080556822,3,0,0,75660.12131545448,Germany,Male,0
479,50,8,110080.85459208724,2,0,1,11326.629757266142,Germany,Male,1
569,70,0,153824.50626745052,1,1,0,86661.38411512993,Spain,Female,1
403,39,8,20866.021247345823,3,1,0,54603.340127744545,Germany,Female,1
692,38,5,220604.09210183469,2,0,1,165585.16139888958,Germany,Male,0
834,23,5,200900.8838603838,2,0,0,74092.81568069544,France,Female,1
573,23,3,126301.69339415956,3,0,1,167229.50185122524,Spain,Male,0
574,72,0,241781.6538147926,3,0,0,10113.608378611108,France,Male,0
734,65,9,104440.24481877493,1,0,1,68485.63850496264,France,Female,0
752,21,7,246027.57975912446,1,1,0,55821.390718474766,France,Male,0
475,47,1,166979.99970090677,2,1,0,54377.798603036084,Spain,Male,0
479,28,0,158667.81831348536,3,1,1,22955.457755437914,France,Male,1
402,79,1,41488.72382394625,3,1,1,45553.61137799533,France,Female,1
521,79,0,220481.939576161,3,0,1,115554.41827826778,France,Male,0
567,47,0,106872.42198015378,2,0,1,65358.603839171454,Germany,Female,1
509,48,8,40558.35144561984,3,0,0,89305.00864253812,France,Female,1
547,41,0,3151.87999393976,3,1,0,81604.70726596582,Spain,Female,0
765,72,3,139938.92090959565,2,1,0,176421.93574997998,Spain,Male,0
596,26,9,131849.9055306691,1,1,1,182006.80981199793,Germany,Male,1
673,72,5,179838.40559228964,1,0,0,103661.8246146134,Spain,Female,1
788,20,6,222564.51325445055,2,1,0,72729.63055996483,Spain,Female,1
552,68,1,19851.64616075738,3,0,1,30292.13376044909,Germany,Male,1
533,48,5,182874.12258509058,2,0,1,191146.54708259806,France,Female,0
472,57,6,46852.986024395555,1,0,0,21443.119531056516,Germany,Female,1
750,54,9,214544.263289291,1,0,1,66553.55273797328,France,Male,0
604,53,9,204765.87846541402,2,0,0,66632.57822230078,France,Female,0
643,41,1,135198.4387463861,2,0,0,70876.24436664084,Spain,Male,1
629,48,1,177560.6996558279,1,1,1,41214.500221757764,Germany,Male,1
674,23,9,78587.5282959371,2,0,0,158800.67187550245,Spain,Female,1
721,19,6,117791.97473320366,1,0,1,33274.59377353795,Spain,Male,0
447,37,0,205409.2244276179,2,1,1,130632.26523910093,France,Male,0
547,45,7,114816.29929330347,2,0,0,33530.74507410532,Spain,Male,0
819,28,2,89449.56633136045,2,1,0,23401.771142661746,Germany,Female,0
744,21,5,123553.11181257498,1,1,0,182791.60570031655,Spain,Female,1
589,32,8,207062.31310930458,2,1,1,46124.46560055408,Spain,Female,0
493,23,5,83802.01184271819,1,0,0,166037.5293663438,France,Male,0
446,71,8,43440.39828393595,1,0,1,113479.86551035581,Germany,Male,1
550,66,6,178003.5050826952,2,1,1,24792.738725666226,Spain,Female,0
473,47,8,206494.55317702045,2,0,0,191535.1563732328,France,Female,0
536,73,1,25159.36963088333,1,0,1,56922.62172845958,Spain,Male,1
675,55,7,59968.52818898618,1,1,0,173332.61561699523,Germany,Female,0
813,68,7,35492.99744024847,3,1,0,42073.901099067196,Spain,Female,0
698,79,1,86985.35289554166,1,0,0,172249.14760695206,Spain,Female,0
608,74,3,112587.74472635316,3,1,0,12513.474452005858,France,Female,0
497,19,6,187206.5842408266,3,1,0,107238.28674820132,Spain,Female,1
601,32,3,162786.89622041854,3,1,0,156194.0900900958,France,Male,0
792,28,3,155232.1418696078,2,0,0,187611.14832362885,Germany,Female,1
769,25,5,88093.7366524136,2,0,1,182748.40587923254,Spain,Female,0
752,43,9,210361.88827119,1,0,0,165728.72521405254,Germany,Male,1
695,68,5,117821.79184954114,3,1,1,178756.3564356478,Germany,Male,1
800,62,9,244776.23450378864,2,0,1,47851.74030904454,Spain,Male,1
496,61,2,158535.53457393422,2,1,1,63995.016185228465,France,Male,0
497,22,8,31566.185391125684,2,0,0,64904.019735001115,Germany,Female,0
701,23,9,169044.3905188585,2,0,1,81640.24689032277,Germany,Female,0
548,43,1,81276.00385792475,2,1,1,84730.92737318586,Spain,Female,1
657,71,5,171581.79917152436,3,0,0,113465.51168438834,Spain,Female,0
838,21,6,17410.287040601437,3,1,0,40377.15503962386,Spain,Male,0
766,36,8,43720.359293989844,3,0,1,141336.86611933797,Spain,Male,0
773,37,2,213934.31472644658,3,0,0,41837.64246785623,Spain,Female,0
477,50,9,56794.88925587872,1,1,0,68958.61159986403,Spain,Female,1
388,37,2,209260.281310735,3,1,0,105635.57481516927,France,Female,1
687,66,6,69819.02211360261,2,1,0,161323.7066894607,Germany,Female,0
709,29,3,160720.47751467692,3,0,1,150499.15431535817,France,Male,0
478,64,7,173537.64337745775,1,0,0,132651.52771799924,France,Female,0
616,18,6,128163.68828626323,2,0,0,39596.91951023233,Spain,Male,1
825,43,4,76327.66917418283,3,1,0,113938.61566695977,Germany,Male,0
790,31,6,53161.09409277403,3,1,1,26614.835341978236,France,Male,1
822,55,2,8297.338640606555,3,1,1,81699.00359136365,Spain,Male,1
783,54,1,75986.60031018095,2,0,0,88568.14075509224,Spain,Female,0
500,79,5,163290.69763282075,2,0,0,17564.173494693227,Germany,Female,0
764,28,1,234576.20461212067,1,1,1,62057.73889929464,France,Female,0
827,53,2,217801.120565763,2,0,0,191573.39878063297,France,Female,1
647,30,5,191516.19413382566,2,1,0,191190.195487641,France,Male,1
448,60,4,197111.83581332467,3,0,1,76942.14030798247,Spain,Male,0
612,20,7,166246.22586899882,2,0,0,18189.020700181572,Germany,Male,1
601,50,8,65071.714391500755,3,1,0,44028.03847235449,Germany,Female,0
493,23,2,226798.75767645746,3,0,1,84521.38075237263,France,Male,0
695,67,9,167683.0779764585,2,0,1,190078.14261415365,Spain,Male,1
461,73,2,140110.15774511,1,1,0,36827.82207206514,France,Male,1
849,27,2,27747.36730337027,1,1,1,155068.01029696033,Germany,Male,1
409,22,5,111763.88595160635,2,0,0,30649.682481191496,Spain,Female,1
718,40,0,115089.56780048157,1,1,0,196438.9397043426,France,Male,0
351,27,6,216140.90238066748,3,0,0,82507.13483073564,France,Male,0
734,61,0,136662.05504694712,3,1,1,157294.56239082065,Spain,Female,0
653,19,4,95100.13724260242,2,0,1,75092.30573411504,Germany,Female,1
603,30,9,244200.08212766485,1,0,0,129257.08666017365,Spain,Female,0
489,57,7,27680.14833157892,1,1,0,46483.05610060698,France,Male,1
802,19,3,105637.10707798615,3,0,1,37743.99366642288,France,Male,1
386,37,4,10506.168792851322,2,0,1,188232.18651794494,France,Male,1
509,18,3,184976.0301917326,1,1,1,184352.98280184236,France,Male,0
358,54,3,229519.13804978767,2,1,0,178619.09864044766,Germany,Female,1
582,26,7,70009.33238762236,1,0,1,128832.35553165276,Germany,Male,1
448,34,1,214585.4191997802,3,1,1,163570.96013109287,France,Male,1
496,26,0,73054.55761547445,3,1,0,23117.018013161232,Germany,Female,1
653,28,2,227692.5404109788,2,0,0,73609.91795922905,Germany,Female,1
557,32,8,188490.475899196,3,0,0,69603.59370385969,Germany,Female,1
480,41,3,201226.69421035965,1,1,1,130772.61117099652,France,Male,1
753,55,9,4501.638900113625,3,1,0,77631.97695942169,Spain,Male,1
501,72,4,240702.58926850648,2,1,0,38216.288512299354,Spain,Male,1
403,52,1,181667.7480175808,2,0,0,123328.7443285733,Spain,Male,1
469,47,3,76187.77384653332,2,0,0,164732.94492712547,France,Male,1
510,48,1,207348.66621471173,1,0,1,82603.4639473949,Germany,Female,1
757,66,1,70380.29960373249,1,0,0,35131.055868711526,Germany,Female,0
465,22,3,218188.459891532,1,0,1,47370.75748943638,France,Male,0
